Month,Kiln APR (%),Kiln Rank,Total Operators,Percentile,Network Mean APR (%),Network Median APR (%),Diff vs Mean (bps),Diff vs Median (bps),Extra Rewards vs Mean (ETH),Extra Rewards vs Median (ETH),Z-Score,Days
2023-01,5.658364407787843,4,5,40.0,5.828281884650618,5.815168777637336,-16.991747686277495,-15.680436984949267,-34.12725021325423,-31.493534762801357,-0.5804793325441789,31
2023-02,5.780635640734221,3,5,60.0,5.8534986634474535,5.850949326018674,-7.286302271323278,-7.031368528445311,-13.218031044227626,-12.755557487394222,-0.3371833775457475,28
2023-03,6.209677237479782,2,5,80.0,5.9547956002983415,5.91446680905734,25.488163718144012,29.52104284224419,51.19196428440209,59.291841794890715,0.8279730234698788,31
2023-04,5.346242950474749,4,5,40.0,5.48892342499532,5.422530933673247,-14.268047452057065,-7.6287983198498885,-27.73239338188319,-14.827875835710424,-0.630742056688719,30
2023-05,6.753457536682656,3,5,60.0,6.622723442760169,6.622173164867283,13.073409392248687,13.128437181537251,26.562760945018756,26.67456728170944,0.7650835614585004,31
2023-06,4.587701594129472,1,5,100.0,4.483487092563086,4.547909297279787,10.421450156638535,3.9792296849684714,22.50832228329533,8.594368618792661,0.8254235035517288,30
2023-07,4.423918741269568,3,5,60.0,4.577829709010438,4.590759999519152,-15.391096774087092,-16.684125824958443,-36.46919115598285,-39.5330224292589,-0.6574948783303541,31
2023-08,4.401122378416898,3,5,60.0,4.403884880840925,4.369200146460156,-0.27625024240272855,3.1922231956741514,-0.6965030002051847,8.048474505482165,-0.023321697863818627,31
2023-09,3.9255305995550827,4,5,40.0,4.052347821122644,4.056415354812427,-12.681722156756074,-13.088475525734403,-32.93095104778016,-33.987177884859165,-1.2270683874417838,30
2023-10,4.073281722938555,3,5,60.0,4.137343772731864,4.129695190525355,-6.406204979330851,-5.6413467586800135,-16.193425924038035,-14.260038687996987,-0.33888887825043107,31
2023-11,4.376470693708817,3,8,75.0,4.349657476733768,4.1998380616832165,2.681321697504957,17.663263202560078,6.244197323585331,41.13378149210499,0.07565016216745248,30
2023-12,4.4329545237573456,1,8,100.0,4.134599671263313,4.071862930545333,29.8354852494033,36.109159321201304,71.4296502042459,86.44956158487086,1.638550234242732,31
2024-01,3.947338335200723,3,8,75.0,3.9397466723718537,3.848666840850693,0.7591662828869417,9.867149435002984,1.8175331012776599,23.62311277204322,0.04343672701207239,31
2024-02,3.897678008664481,2,8,87.5,3.76795915741598,3.7949788629769823,12.971885124850106,10.269914568749872,29.219992204125923,23.133632525085904,0.6565835297127275,29
2024-03,3.9528231853231524,3,8,75.0,3.8713942289527346,3.885090841640633,8.142895637041764,6.773234368251946,19.890617708647248,16.5449517561193,0.875268781170467,31
2024-04,4.059303695860939,1,8,100.0,3.5889101457027053,3.565060705540523,47.039355015823375,49.424299032041624,108.69127302365271,114.20203313347355,2.7994075470750253,30
2024-05,3.5195628276664963,2,8,87.5,3.4513626312222727,3.463406463498677,6.820019644422359,5.615636416781908,16.253425972622587,13.383147783742043,0.2731581847612034,31
2024-06,3.629497543998858,2,8,87.5,3.4683654688127334,3.4440360246529322,16.113207518612462,18.546151934592594,37.43561637200922,43.088046138450736,1.4547308170789335,30
2024-07,3.4218922767527333,3,8,75.0,3.3721100834393147,3.384931475382743,4.978219331341835,3.6960801369990275,11.768390476469861,8.737444332892538,0.5611314142338054,31
2024-08,3.3738794369825102,4,8,62.5,3.416265855837851,3.3370572779120042,-4.23864188553405,3.6822159070506317,-9.891731342260064,8.593198359373096,-0.27877227702708446,31
2024-09,3.3664070090733316,4,8,62.5,3.380337137264104,3.3655806964416044,-1.3930128190772773,0.08263126317270553,-3.1077940435834126,0.18434930675800304,-0.2668345385985209,30
2024-10,3.410391775333841,3,8,75.0,3.361544183618421,3.3402018402969462,4.884759171542019,7.01899350368948,11.10596703977499,15.958352861797703,0.7928489411160538,31
2024-11,3.447430257914615,2,8,87.5,3.3855023838260694,3.3490828752870065,6.1927874088545805,9.834738262760878,13.571766767812441,21.55326270910356,0.46282997490652783,30
2024-12,3.3465721522313947,1,8,100.0,3.2411994600496414,3.2334035312329124,10.537269218175298,11.31686209984821,23.605145916402996,25.35155699751465,3.2306863078902874,31
2025-01,3.5745644085112014,1,8,100.0,3.3035731170302007,3.301964555045779,27.099129148100072,27.25998534654224,59.51556774903195,59.86884286440249,8.007914313248005,31
2025-02,3.2519016131990943,8,8,12.5,3.3983619038627157,3.3717579798909574,-14.646029066362129,-11.985636669186311,-28.433680451114352,-23.268816517476093,-1.481797010368883,28
2025-03,3.300634752030877,7,8,25.0,3.3739514519617964,3.3737496579355972,-7.331669993091913,-7.311490590471981,-15.543686745420102,-15.500904908085705,-1.1364136705280852,31
2025-04,3.36172889547543,4,8,62.5,3.354160588965334,3.2960466408606335,0.7568306510095935,6.568225461479615,1.5313309131853323,13.28979829307579,0.04796828213025379,30
2025-05,3.241854364831351,3,8,75.0,3.2051426087854584,3.172319191571618,3.6711756045892248,6.9535173259732685,7.488634984502135,14.18410850397107,0.533389315416186,31
2025-06,3.2501403320221014,1,8,100.0,3.0630385396402886,3.071906211548104,18.710179238181286,17.823412047399714,36.58689944548739,34.85286677654988,6.440869637739946,30
2025-07,3.0691210514450638,4,8,62.5,3.040854178598571,3.0470231465792326,2.826687284649271,2.209790486583131,5.6473773456458485,4.4148925848024,0.6346038027882489,31
2025-08,3.0855794769483467,2,8,87.5,2.9862693626799834,2.9870951409877904,9.931011426836319,9.848433596055598,19.234448231297744,19.074510945664127,1.7286352979905057,31
